위도(x),경도(y),행정동,상태,원본 경로,예측 경로,점검일
37.501328,127.00905,반포4동,grid_cover,,,2025-06-14 02:01:02
37.501328,127.00905,반포4동,grid_0,,,2024-09-10 03:25:50
37.501328,127.00905,반포4동,grid_2,,,2025-09-03 00:14:41
37.501328,127.00905,반포4동,grid_cover,,,2025-09-06 06:15:26
37.501328,127.00905,반포4동,grid_1,,,2025-05-16 12:53:50
37.472553,126.983598,방배2동,grid_0,,,2025-01-17 18:44:15
37.472553,126.983598,방배2동,grid_cover,,,2025-01-14 17:56:08
37.472553,126.983598,방배2동,grid_cover,,,2025-07-13 04:57:21
37.472553,126.983598,방배2동,grid_cover,,,2025-03-30 08:14:51
37.472553,126.983598,방배2동,grid_2,,,2025-01-30 01:25:50
37.471457,127.037881,양재2동,grid_1,,,2024-12-17 21:18:23
37.471457,127.037881,양재2동,grid_0,,,2025-08-29 07:18:17
37.471457,127.037881,양재2동,grid_2,,,2025-03-07 08:07:17
37.471457,127.037881,양재2동,grid_0,,,2024-10-26 02:55:32
37.471457,127.037881,양재2동,grid_0,,,2025-08-29 01:00:15
37.455112,127.03771,양재2동,grid_0,,,2025-04-11 18:29:46
37.455112,127.03771,양재2동,grid_0,,,2024-09-22 16:31:52
37.455112,127.03771,양재2동,grid_0,,,2025-03-10 02:49:20
37.455112,127.03771,양재2동,grid_0,,,2025-04-04 13:28:18
37.455112,127.03771,양재2동,grid_0,,,2025-06-29 02:40:38
37.481688,127.027461,서초2동,grid_cover,,,2024-10-20 06:50:11
37.481688,127.027461,서초2동,grid_1,,,2024-11-10 03:35:51
37.481688,127.027461,서초2동,grid_2,,,2025-05-16 20:13:27
37.481688,127.027461,서초2동,grid_0,,,2025-05-04 02:23:02
37.481688,127.027461,서초2동,grid_0,,,2024-09-27 15:22:49
37.471532,127.017697,양재1동,grid_2,,,2025-01-26 00:25:36
37.471532,127.017697,양재1동,grid_1,,,2024-10-05 06:08:18
37.471532,127.017697,양재1동,grid_cover,,,2024-09-29 02:56:54
37.471532,127.017697,양재1동,grid_2,,,2025-03-21 01:46:02
37.471532,127.017697,양재1동,grid_0,,,2025-02-22 21:16:09
37.512394,126.988333,반포본동,grid_2,,,2025-02-07 13:23:32
37.512394,126.988333,반포본동,grid_cover,,,2025-07-29 14:05:06
37.512394,126.988333,반포본동,grid_1,,,2024-11-16 00:48:03
37.512394,126.988333,반포본동,grid_0,,,2025-05-22 04:28:52
37.512394,126.988333,반포본동,grid_0,,,2025-01-29 02:09:55
37.506907,127.014919,반포1동,grid_1,,,2025-04-08 05:38:31
37.506907,127.014919,반포1동,grid_1,,,2024-09-23 16:25:36
37.506907,127.014919,반포1동,grid_0,,,2025-06-16 08:20:07
37.506907,127.014919,반포1동,grid_0,,,2024-11-07 10:00:27
37.506907,127.014919,반포1동,grid_0,,,2024-12-07 23:43:25
37.496439,127.028044,서초2동,grid_0,,,2024-12-06 12:01:21
37.496439,127.028044,서초2동,grid_2,,,2024-12-25 00:16:51
37.496439,127.028044,서초2동,grid_cover,,,2025-02-08 22:27:19
37.496439,127.028044,서초2동,grid_0,,,2025-07-11 15:50:24
37.496439,127.028044,서초2동,grid_cover,,,2024-11-17 22:17:22
37.487426,126.993698,방배1동,grid_0,,,2025-07-11 13:22:46
37.487426,126.993698,방배1동,grid_1,,,2025-05-29 19:24:30
37.487426,126.993698,방배1동,grid_1,,,2025-06-14 10:56:32
37.487426,126.993698,방배1동,grid_1,,,2024-12-18 04:05:58
37.487426,126.993698,방배1동,grid_1,,,2025-08-10 16:29:00
